0,1;0,6;5,08;5,78
0;0;5,48;5,48
1;0,45;12,1;13,55
0,9;0;13,5;14,4
0,5;0,2;9,6;10,3
1;0,5;13,7;15,2
0,1;0,4;12,95;13,45
0,5;0,75;15,6;16,85
0,5;0,75;13,9;15,15
0,5;0,15;10,78;11,43
0,1;0,75;11,28;12,13
0,95;0,5;11,75;13,2
0,75;0,4;17,4;18,55
0,5;0,6;13;14,1
0,75;0,6;10,2;11,55
0,25;0;8,1;8,35
0,5;0,55;11,4;12,45
1;0,75;15,3;17,05
0,95;0,95;15;16,9
0,45;0,75;8,9;10,1
0,5;0,5;13,7;14,7
1;1;18;20
0,15;0,25;4,9;5,3
0,95;0,5;15,4;16,85
1;1;16,2;18,2
0,9;0,7;12,38;13,98
1;0,4;15,6;17
0,15;0,55;10,9;11,6
0,5;1;15,6;17,1
0,15;0,1;9,15;9,4
0,5;1;15,5;17
1;0,9;17,4;19,3
1;1;17,4;19,4
1;0,75;16,2;17,95
0,5;0,75;17,5;18,75
0,95;0,2;10,3;11,45
0,5;0,95;8,9;10,35
0,75;0;17,4;18,15
0,75;1;14,6;16,35
0,95;0,6;17,4;18,95
0,5;0,75;11,95;13,2
0,95;1;15,9;17,85
0,45;0,05;15;15,5
0,5;1;16,8;18,3
0,15;0,3;11,18;11,63
0,5;0;13,8;14,3
0,15;0,9;12;13,05
0,5;0,9;11,7;13,1
0,95;0,7;14,2;15,85
0,35;1;11,95;13,3
0,1;0,7;11,18;11,98
0,5;0,6;15;16,1
